Modelo,Valor,Local,Ano
IPHONE 8,950.0,FORTALEZA ALDEOTA,2017.0
IPHONE 8,950.0,FORTALEZA FÁTIMA,2017.0
IPHONE 8,950.0,FORTALEZA SIQUEIRA,2017.0
IPHONE 7,980.0,FORTALEZA CIDADE DOS FUNCIONÁRIOS,2016.0
IPHONE 7,980.0,FORTALEZA CIDADE DOS FUNCIONÁRIOS,2016.0
IPHONE 8,980.0,FORTALEZA PLANALTO AYRTON SENNA,2017.0
IPHONE 7 PLUS,999.0,FORTALEZA CONJUNTO PALMEIRAS,2016.0
IPHONE 8 PLUS,999.0,FORTALEZA VICENTE PINZON,2017.0
IPHONE 7,999.0,FORTALEZA MANUEL DIAS BRANCO,2016.0
IPHONE 6,999.0,FORTALEZA CURIÓ,
IPHONE 7 PLUS,999.0,FORTALEZA PICI,2016.0
IPHONE 7 PLUS,1000.0,FORTALEZA BONSUCESSO,2016.0
IPHONE 7,1000.0,CAUCAIA NOVA METRÓPOLE (JUREMA),2016.0
IPHONE SE1,1000.0,FORTALEZA MESSEJANA,2016.0
IPHONE 7 PLUS,1000.0,FORTALEZA JÓQUEI CLUBE,2016.0
IPHONE 7 PLUS,1000.0,FORTALEZA LAGOA REDONDA,2016.0
IPHONE 7 PLUS,1000.0,FORTALEZA MONTE CASTELO,2016.0
IPHONE 7,1000.0,FORTALEZA PARQUE MANIBURA,2016.0
IPHONE 8,1000.0,FORTALEZA EDSON QUEIROZ,2017.0
IPHONE 8,1000.0,FORTALEZA FARIAS BRITO,2017.0
IPHONE 8,1000.0,CAUCAIA PARQUE DAS NAÇÕES (JUREMA),2017.0
IPHONE 7 PLUS,1000.0,FORTALEZA GENIBAÚ,2016.0
IPHONE 8,1000.0,FORTALEZA GRANJA LISBOA,2017.0
IPHONE 8,1000.0,FORTALEZA BONSUCESSO,2017.0
IPHONE 7 PLUS,1000.0,FORTALEZA VILA VELHA,2016.0
IPHONE X,1000.0,FORTALEZA PARQUE SANTA MARIA,2017.0
IPHONE 8,1000.0,FORTALEZA CENTRO,2017.0
IPHONE 7 PLUS,1000.0,FORTALEZA ENGENHEIRO LUCIANO CAVALCANTE,2016.0
IPHONE 7,1000.0,FORTALEZA ALDEOTA,2016.0
IPHONE X,1000.0,CAUCAIA PARQUE POTIRA (JUREMA),2017.0
IPHONE 7 PLUS,1000.0,FORTALEZA FÁTIMA,2016.0
IPHONE 8 PLUS,1000.0,FORTALEZA GENIBAÚ,2017.0
IPHONE 7 PLUS,1000.0,MARACANAÚ SIQUEIRA,2016.0
IPHONE 8 PLUS,1000.0,FORTALEZA BOA VISTA-CASTELÃO,2017.0
IPHONE 8,1000.0,FORTALEZA COCÓ,2017.0
IPHONE 8,1000.0,FORTALEZA CIDADE 2000,2017.0
IPHONE 7 PLUS,1000.0,PENTECOSTE,2016.0
IPHONE 8,1000.0,AQUIRAZ,2017.0
IPHONE 8,1000.0,FORTALEZA ÁLVARO WEYNE,2017.0
IPHONE 7 PLUS,1000.0,FORTALEZA AUTRAN NUNES,2016.0
IPHONE SE1,1000.0,FORTALEZA BONSUCESSO,2016.0
IPHONE 7 PLUS,1000.0,MARACANAÚ ACARACUZINHO,2016.0
IPHONE 8 PLUS,1000.0,FORTALEZA LAGOA REDONDA,2017.0
IPHONE 7,1000.0,FORTALEZA CONJUNTO CEARÁ II,2016.0
IPHONE X,1000.0,FORTALEZA ALTO DA BALANÇA,2017.0
IPHONE 7 PLUS,1000.0,FORTALEZA ENGENHEIRO LUCIANO CAVALCANTE,2016.0
IPHONE 7 PLUS,1000.0,FORTALEZA JOSÉ BONIFÁCIO,2016.0
