ano,musica,tipo
1987,Cold Cold Ground,Folk/Roots
1969,Cold Duck Time,Jazz
1969,Cold Hands From New York,Folk/Roots
1951,Cold Cold Heart,Country/Bluegrass
1916,Colonel Bogey March,Musical/Film
1988,Colors,Hip-Hop
1991,Come A Long Way,Folk/Roots
1970,Come And Get It,Rock/Pop
1991,Come And Talk To Me,R & B/Soul
1991,Come As You Are,Rock/Pop
1994,Come Baby Come,Hip-Hop
1994,Come Clean,Hip-Hop
1902,Come Down Ma Evenin' Star,Musical/Film
1957,Come Fly With Me,Jazz
1991,Come In From The Cold,Rock/Pop
1910,Come Josephine In My Flying Machine,Musical/Film
1928,Come On Around To My House Mama,Blues
1936,Come On In My Kitchen,Blues
1982,Come On Eileen,Rock/Pop
1958,Come On Let's Go,Rock/Pop
1951,Come On-A My House,Jazz
1966,Come Out,Classical/ Contemporary
1946,Come Rain Or Come Shine,Jazz
1969,Come Saturday Morning,Jazz
1964,Come See About Me,R & B/Soul
1943,Come Sunday,Jazz
1997,Come To Daddy,Dance/Electronica
1993,Come To My Window,Folk/Roots
1969,Come Together,Rock/Pop
1990,Come Together,Dance/Electronica
1939,Comes Love,Jazz
1979,Comfortably Numb,Rock/Pop
1943,Comin' In On A Wing And A Prayer,Musical/Film
1998,Coming From,Hip-Hop
1977,Commando,Rock/Pop
1995,Common People,Rock/Pop
1969,Communication Breakdown,Rock/Pop
1968,Compared To What?,R & B/Soul
1979,Complete Control,Rock/Pop
1965,Components,Jazz
1989,Composition No. 112,Jazz
1998,Composition No. 16 (+101),Jazz
1981,Composition No. 40a,Jazz
1976,Composition No. 40f,Jazz
1978,Computer Game,Dance/Electronica
1949,Conception,Jazz
1965,Concrete And Clay,Rock/Pop
1998,Concrete Schoolyard,Hip-Hop
1983,Confusion,Dance/Electronica
1960,Consider Yourself,Musical/Film
1991,Constant Craving,Rock/Pop
1945,Constellation,Jazz
1979,Consternation,Jazz
1967,Contemplation,Jazz
1934,Continental The,Musical/Film
1991,Convolutions,Hip-Hop
1973,Cook With Honey,Folk/Roots
1946,Cool Blues,Jazz
1979,Cool For Cats,Rock/Pop
1948,Cool Water,Country/Bluegrass
1992,Cop Killa,Rock/Pop
1924,Copenhagen,Jazz
1988,Copperhead Road,Country/Bluegrass
1992,Copyright Royalties,Jazz
1975,Cortez The Killer,Rock/Pop
1971,Cosmic Dancer,Rock/Pop
1929,Cottage For Sale A,Jazz
1935,Cotton Fields,Folk/Roots
1995,Could I Be Your Girl?,Rock/Pop
1972,Could It Be I'm Falling In Love?,R & B/Soul
1959,Countdown,Jazz
1969,Country Preacher,Jazz
1959,Cousin Mary,Jazz
1927,Cow Cow Blues,Blues
1941,Cow Cow Boogie,Jazz
1969,Cowgirl In The Sand,Rock/Pop
1976,Coyote,Rock/Pop
1961,Crazy,Country/Bluegrass
1991,Crazy,Dance/Electronica
1956,Crazy Arms,Country/Bluegrass
1920,Crazy Blues,Blues
1979,Crazy Little Thing Called Love,Rock/Pop
1928,Crazy Rhythm,Jazz
1980,Crazy Train,Rock/Pop
1951,Crazy He Calls Me (Crazy She Calls Me),Jazz
1992,Creep,Rock/Pop
1994,Creep,R & B/Soul
1900,Creole Belles,Jazz
1957,Crepuscule With Nellie (Moonlight With Nellie),Jazz
1964,Crescent,Jazz
1987,Crescent City,Jazz
1995,Criminology,Hip-Hop
1996,Crispy Bacon,Dance/Electronica
1988,Critical Beatdown,Hip-Hop
1998,Crook County,Hip-Hop
1936,Cross Road Blues (aka Crossroad; aka Crossroad Blues),Blues
1987,Cross The,Gospel
1967,Crosscut Saw,Blues
1992,Crossover,Hip-Hop
1995,Crossroads (aka Tha Crossroads; aka Tha Crossroad),Hip-Hop
1992,Crucify,Rock/Pop
1979,Cruisin',R & B/Soul
1902,Cruising Down the River On A Sunday Afternoon,Musical/Film
1951,Cry,R & B/Soul
1996,Cry,Dance/Electronica
1963,Cry Baby,R & B/Soul
1956,Cry Cry Cry,Country/Bluegrass
1960,Cry Me A River,Jazz
1949,Cry Of The Wild Goose,Country/Bluegrass
1961,Crying,Rock/Pop
1965,Crying Game The,Rock/Pop
1953,Crying In The Chapel,Gospel
1964,Crying Time,Country/Bluegrass
1972,Crystal Silence,Jazz
1931,Cuban Love Song,Jazz
1908,Cuddle Up A Little Closer,Musical/Film
1988,Cult Of Personality,Rock/Pop
1999,Cum On Everybody,Hip-Hop
1925,Cup Of Coffee A Sandwich And You A,Musical/Film
1961,Cupid,R & B/Soul
1946,Curly Headed Baby,Folk/Roots
1975,Cut The Cake,R & B/Soul
1994,Cut Your Hair,Rock/Pop
1931,Cypress Grove Blues,Blues
1968,Cyprus Avenue,Blues
1986,Da Butt,R & B/Soul
1996,Da Dip,Hip-Hop
1963,Da Do Ron Ron,R & B/Soul
1995,Da Funk,Dance/Electronica
1993,Da Mystery Of Chessboxin',Hip-Hop
1953,Daahoud,Jazz
1968,Daddy Sang Bass,Country/Bluegrass
1912,Dallas Blues,Ragtime
1978,Damaged Goods,Rock/Pop
1991,Damn Right I've Got The Blues,Blues
1979,Dance Away,Rock/Pop
1985,Dance Me To The End Of Love,Rock/Pop
1949,Dance Of The Infidels,Jazz
1990,Dance To My Ministry,Hip-Hop
1968,Dance To The Music,R & B/Soul
1992,Dance Without Sleeping,Folk/Roots
1992,Dance The,Country/Bluegrass
1992,Dance You Monster To My Soft Song,Jazz
1979,Dancing Barefoot,Rock/Pop
1931,Dancing In The Dark,Jazz
1984,Dancing In The Dark,Rock/Pop
1964,Dancing In The Street,R & B/Soul
1976,Dancing Queen,Dance/Electronica
1964,Dang Me,Country/Bluegrass
1966,Dangling Conversation The,Folk/Roots
1973,Daniel,Rock/Pop
1936,Daphne,Jazz
1919,Dardanella,Jazz
1947,Dark As A Dungeon,Folk/Roots
1966,Dark End Of The Street,R & B/Soul
1976,Dark Eyed Molly,Folk/Roots
1970,Dark Globe,Folk/Roots
1996,Dark Keys The,Jazz
1995,Dark Magus,Dance/Electronica
1957,Dark Moon,Country/Bluegrass
1978,Dark Prince The,Jazz
1969,Dark Star,Rock/Pop
1927,Dark Was The Night Cold Was The Ground,Gospel
1917,Darktown Strutters' Ball The,Jazz
1995,Darn Folksinger,Folk/Roots
1939,Darn That Dream,Jazz
1959,Dat Dere,Jazz
1995,Datskat,Hip-Hop
1924,Davenport Blues,Jazz
1974,Dawgology,Country/Bluegrass
1966,Day In The Life Of A Fool A (Manha De Carnaval),Jazz
1967,Day In The Life A,Rock/Pop
1992,Day Of Sooperman Lover A,Hip-Hop
1965,Day Tripper,Rock/Pop
1966,Daydream (aka What A Day For A Daydream),Folk/Roots
1962,Days Of Wine And Roses The,Musical/Film
1969,Dazed And Confused,Rock/Pop
1999,Dead Eye,Dance/Electronica
1997,Dead Presidents,Hip-Hop
1996,Dead Wrong,Hip-Hop
1973,Dear Abby,Folk/Roots
1986,Dear God,Rock/Pop
1949,Dear Hearts And Gentle People,Country/Bluegrass
1968,Dear Landlord,Rock/Pop
1995,Dear Mama,Hip-Hop
1946,Dear Mrs. Roosevelt,Folk/Roots
1957,Dedicated To The One I Love,R & B/Soul
1936,Dedicated To You,Jazz
1926,Deed I Do,Jazz
1992,Deep Cover,Hip-Hop
1924,Deep In My Heart Dear,Musical/Film
1942,Deep In The Heart Of Texas,Country/Bluegrass
1934,Deep Purple,Jazz
1997,Definition,Hip-Hop
1985,Delirium Tremens,Folk/Roots
1972,Delta Dawn,Country/Bluegrass
1994,Demagogue,Rock/Pop
1992,Democracy,Rock/Pop
1949,Deportee,Folk/Roots
1942,Der Fuehrer's Face,Musical/Film
1959,Desafinado (Slightly Out Of Tune),Jazz
1996,Design For Life A,Rock/Pop
1965,Desolation Row,Rock/Pop
1973,Desperado,Country/Bluegrass
1973,Desperados Waiting For A Train,Country/Bluegrass
1945,Detour,Country/Bluegrass
1963,Detroit City,Country/Bluegrass
1931,Devil Got My Woman,Blues
1979,Devil Went Down To Georgia The,Country/Bluegrass
1964,Devil With The Blue Dress,R & B/Soul
1998,Devil Without A Cause,Rock/Pop
1996,Devil's Haircut,Rock/Pop
1970,Devotion,Jazz
1945,Dexter Rides Again,Jazz
1975,Diamonds And Rust,Folk/Roots
1949,Diamonds Are A Girl's Best Friend,Jazz
1986,Diamonds On The Soles Of Her Shoes,Rock/Pop
1960,Diane,Jazz
1966,Did You Ever Have To Make Up Your Mind,Rock/Pop
1969,Didn't We?,Rock/Pop
1988,Diety,Rock/Pop
1967,Different Drum,Country/Bluegrass
1925,Dinah,Jazz
1973,Dinah-Moe Humm,Rock/Pop
1939,Ding-Dong! The Witch Is Dead,Musical/Film
1964,Dirty Old Town,Folk/Roots
1977,Disco Inferno,Dance/Electronica
1967,D-I-V-O-R-C-E,Country/Bluegrass
1993,Divorce Song,Rock/Pop
1945,Dizzy Atmosphere,Jazz
1974,Dizzy Dizzy,Dance/Electronica
1958,Dizzy Miss Lizzy,R & B/Soul
1955,Django,Jazz
1949,Django Castle,Jazz
1934,Djangology,Jazz
1926,Do Do Do,Musical/Film
1922,Do It Again,Musical/Film
1972,Do It Again,Rock/Pop
1990,Do Me Right,R & B/Soul
1943,Do Nothin' Till You Hear From Me,Jazz
1967,Do Right Woman Do Right Man,R & B/Soul
1968,Do The Reggay,Reggae
1978,Do Ya Think I'm Sexy?,Dance/Electronica
1965,Do You Believe In Magic?,Rock/Pop
1985,Do You Hear The People Sing,Musical/Film
1968,Do You Know The Way To San Jose?,Rock/Pop
1962,Do You Love Me?,R & B/Soul
1983,Do You Really Want To Hurt Me?,Rock/Pop
1958,Do You Wanna Dance?,Rock/Pop
1977,Does Fort Worth Ever Cross Your Mind?,Country/Bluegrass
1989,Doin' Our Own Dang,Hip-Hop
1928,Doin' The New Low Down,Jazz
1946,Doin' What Comes Natur'lly,Musical/Film
1994,Doll Parts,Rock/Pop
1970,Domino,R & B/Soul
1972,Don Quixote,Folk/Roots
1989,Done By The Forces Of Nature,Hip-Hop
1992,Done Got Old,Blues
1923,Donkey Serenade The,Musical/Film
1995,Don't,Folk/Roots
1988,Don't Be Cruel,R & B/Soul
1956,Don't Be Cruel (To A Heart That's True),Rock/Pop
1969,Don't Beat Me Down,Folk/Roots
1988,Don't Believe The Hype,Hip-Hop
1933,Don't Blame Me,Jazz
1975,Don't Bogart That Joint,Rock/Pop
1967,Don't Come Home A-Drinkin' (With Lovin' On Your Mind),Country/Bluegrass
1976,Don't Cry For Me Argentina,Musical/Film
1979,Don't Do Me Like That,Rock/Pop
1986,Don't Dream It's Over,Rock/Pop
1929,Don't Ever Leave Me,Musical/Film
1946,Don't Explain,Jazz
1976,Don't Fear The Reaper,Rock/Pop
1944,Don't Fence Me In,Country/Bluegrass
1942,Don't Get Around Much Anymore,Jazz
1954,Don't Go To Strangers,Jazz
1975,Don't Interrupt The Sorrow,Rock/Pop
1977,Don't It Make My Brown Eyes Blue,Country/Bluegrass
1975,Don't Leave Me This Way,Dance/Electronica
1969,Don't Let It Bring You Down,Rock/Pop
1998,Don't Let It Go To Your Head,Hip-Hop
1964,Don't Let Me Be Misunderstood,R & B/Soul
1970,Don't Let The Dragon Eat Your Mother,Jazz
1953,Don't Let The Stars Get In Your Eyes,Country/Bluegrass
1974,Don't Let The Sun Go Down On Me,Rock/Pop
