Modelo,Valor,Local
8,1050.0,FORTALEZA CIDADE 2000
8,1050.0,FORTALEZA PASSARÉ
8,1050.0,FORTALEZA GRANJA LISBOA
8,1090.0,MARACANAÚ JARÍ
7 PLUS,1100.0,FORTALEZA MONTE CASTELO
7 PLUS,1100.0,CAUCAIA PARQUE ALBANO (JUREMA)
8,1100.0,MARANGUAPE NOVO MARANGUAPE II
X,1100.0,FORTALEZA CRISTO REDENTOR
7 PLUS,1100.0,FORTALEZA ITAOCA
7 PLUS,1100.0,FORTALEZA PREFEITO JOSÉ WALTER
8 PLUS,1100.0,PINDORETAMA
SE,1100.0,FORTALEZA GRANJA LISBOA
8,1100.0,FORTALEZA ANTÔNIO BEZERRA
11,1100.0,FORTALEZA MESSEJANA
8 PLUS,1100.0,EUSÉBIO
8,1100.0,FORTALEZA PAPICU
8 PLUS,1100.0,FORTALEZA CONJUNTO PALMEIRAS
X,1100.0,CASCAVEL
8 PLUS,1100.0,FORTALEZA MARAPONGA
8 PLUS,1100.0,FORTALEZA DOM LUSTOSA
7 PLUS,1100.0,CAUCAIA PARQUE LEBLON
7 PLUS,1100.0,FORTALEZA PARQUELÂNDIA
7 PLUS,1100.0,FORTALEZA SIQUEIRA
8,1100.0,FORTALEZA MONTESE
X,1100.0,PACAJUS
8 PLUS,1100.0,FORTALEZA MARAPONGA
8 PLUS,1100.0,FORTALEZA CANINDEZINHO
8 PLUS,1100.0,FORTALEZA PARQUE PRESIDENTE VARGAS
7 PLUS,1100.0,FORTALEZA MONDUBIM
8,1150.0,FORTALEZA MANOEL SÁTIRO
8,1150.0,FORTALEZA PRESIDENTE KENNEDY
8 PLUS,1150.0,FORTALEZA GUARARAPES
8 PLUS,1150.0,FORTALEZA MONDUBIM
7 PLUS,1150.0,FORTALEZA GRANJA LISBOA
SE,1150.0,FORTALEZA MESSEJANA
7 PLUS,1170.0,FORTALEZA MONDUBIM
8,1170.0,FORTALEZA HENRIQUE JORGE
8,1179.0,EUSÉBIO PIRES FAÇANHA
8,1200.0,FORTALEZA DAMAS
8 PLUS,1200.0,CAUCAIA NOVA METRÓPOLE (JUREMA)
8,1200.0,MARACANAÚ JEREISSATI II
7 PLUS,1200.0,HORIZONTE PLANALTO HORIZONTE
8 PLUS,1200.0,MARACANAÚ LUZARDO VIANA
8 PLUS,1200.0,FORTALEZA ALDEOTA
8,1200.0,FORTALEZA PLANALTO AYRTON SENNA
8 PLUS,1200.0,MARACANAÚ ALTO ALEGRE II
8 PLUS,1200.0,FORTALEZA MARAPONGA
8 PLUS,1200.0,FORTALEZA ANTÔNIO BEZERRA
8,1200.0,CAUCAIA ARATURI (JUREMA)
8 PLUS,1200.0,FORTALEZA PANAMERICANO
8 PLUS,1200.0,FORTALEZA JÓQUEI CLUBE
7 PLUS,1200.0,FORTALEZA MEIRELES
8,1200.0,MARACANAÚ TIMBÓ
SE,1200.0,MARANGUAPE SAPUPARA
8,1200.0,FORTALEZA ANTÔNIO BEZERRA
8 PLUS,1200.0,FORTALEZA RODOLFO TEÓFILO
8 PLUS,1200.0,FORTALEZA JACARECANGA
8,1200.0,FORTALEZA JARDIM DAS OLIVEIRAS
X,1200.0,FORTALEZA DIAS MACEDO
8,1200.0,FORTALEZA CANINDEZINHO
8 PLUS,1200.0,FORTALEZA MONDUBIM
7 PLUS,1200.0,FORTALEZA PARQUE IRACEMA
8 PLUS,1200.0,FORTALEZA PREFEITO JOSÉ WALTER
8 PLUS,1200.0,FORTALEZA JANGURUSSU
7,1200.0,PACAJUS
XS,1200.0,FORTALEZA PADRE ANDRADE
SE,1200.0,FORTALEZA MONDUBIM
8 PLUS,1200.0,CAUCAIA ARIANÓPOLIS (JUREMA)
X,1200.0,FORTALEZA JANGURUSSU
8 PLUS,1200.0,FORTALEZA GENIBAÚ
7 PLUS,1200.0,FORTALEZA PRESIDENTE KENNEDY
8 PLUS,1200.0,FORTALEZA PAPICU
8 PLUS,1200.0,FORTALEZA SIQUEIRA
8 PLUS,1200.0,FORTALEZA BARRA DO CEARÁ
X,1200.0,FORTALEZA ALDEOTA
7 PLUS,1200.0,FORTALEZA MEIRELES
X,1200.0,FORTALEZA CARLITO PAMPLONA
8 PLUS,1200.0,FORTALEZA ANTÔNIO BEZERRA
8,1200.0,FORTALEZA PRESIDENTE KENNEDY
X,1200.0,CAUCAIA GUAGIRU
SE,1200.0,FORTALEZA PREFEITO JOSÉ WALTER
X,1200.0,MARACANAÚ COQUEIRAL
8 PLUS,1200.0,MARACANAÚ TIMBÓ
8 PLUS,1200.0,FORTALEZA PADRE ANDRADE
8 PLUS,1250.0,FORTALEZA LAGOA REDONDA
8 PLUS,1250.0,FORTALEZA CARLITO PAMPLONA
8 PLUS,1250.0,FORTALEZA ALDEOTA
X,1250.0,FORTALEZA MONDUBIM
8 PLUS,1250.0,FORTALEZA CONJUNTO CEARÁ I
8 PLUS,1250.0,FORTALEZA SALINAS
8 PLUS,1250.0,FORTALEZA GRANJA LISBOA
8 PLUS,1250.0,PACAJUS
8,1250.0,FORTALEZA MONDUBIM
7 PLUS,1250.0,FORTALEZA GRANJA LISBOA
7 PLUS,1250.0,FORTALEZA JÓQUEI CLUBE
X,1250.0,FORTALEZA LAGOA REDONDA
7 PLUS,1250.0,FORTALEZA PICI
8 PLUS,1259.0,FORTALEZA PARQUE SANTA ROSA
X,1299.0,FORTALEZA DIONISIO TORRES
8,1299.0,FORTALEZA EDSON QUEIROZ
8 PLUS,1299.0,FORTALEZA PARQUE IRACEMA
8,1300.0,FORTALEZA PARQUELÂNDIA
8 PLUS,1300.0,FORTALEZA ITAPERI
X,1300.0,FORTALEZA VILA PERI
8,1300.0,FORTALEZA ANTÔNIO BEZERRA
SE,1300.0,FORTALEZA PRESIDENTE KENNEDY
8 PLUS,1300.0,FORTALEZA SAPIRANGA-COITÉ
8 PLUS,1300.0,FORTALEZA PARQUE DOIS IRMÃOS
8 PLUS,1300.0,FORTALEZA ANTÔNIO BEZERRA
X,1300.0,FORTALEZA GRANJA PORTUGAL
8 PLUS,1300.0,FORTALEZA VICENTE PINZON
8 PLUS,1300.0,FORTALEZA MANOEL SÁTIRO
8 PLUS,1300.0,FORTALEZA JARDIM IRACEMA
8 PLUS,1300.0,FORTALEZA PAPICU
8 PLUS,1300.0,FORTALEZA ALTO DA BALANÇA
8 PLUS,1300.0,FORTALEZA CANINDEZINHO
8 PLUS,1300.0,EUSÉBIO COAÇU
8,1300.0,EUSÉBIO TAMATANDUBA
8 PLUS,1300.0,FORTALEZA PICI
XS MAX,1300.0,FORTALEZA PIRAMBU
X,1300.0,FORTALEZA CENTRO
8 PLUS,1300.0,FORTALEZA JOAQUIM TÁVORA
7 PLUS,1300.0,FORTALEZA ENGENHEIRO LUCIANO CAVALCANTE
8 PLUS,1300.0,FORTALEZA BARRA DO CEARÁ
8 PLUS,1300.0,FORTALEZA DIONISIO TORRES
8,1300.0,FORTALEZA PRESIDENTE KENNEDY
8 PLUS,1300.0,FORTALEZA PIRAMBU
X,1300.0,FORTALEZA RODOLFO TEÓFILO
8,1300.0,FORTALEZA VILA VELHA
XS,1300.0,FORTALEZA CARLITO PAMPLONA
XS,1300.0,FORTALEZA VILA PERI
8 PLUS,1300.0,EUSÉBIO COAÇU
8 PLUS,1300.0,FORTALEZA JACARECANGA
XR,1300.0,CAUCAIA CENTRO
XS,1300.0,FORTALEZA COAÇU
8 PLUS,1300.0,AQUIRAZ
8 PLUS,1300.0,FORTALEZA PASSARÉ
X,1300.0,FORTALEZA BOM FUTURO
8 PLUS,1300.0,CAUCAIA ICARAÍ
8 PLUS,1300.0,FORTALEZA CANINDEZINHO
8 PLUS,1300.0,FORTALEZA BARRA DO CEARÁ
