Modelo,Valor,Local,Ano
7P,950.0,FORTALEZA PEDRAS,2016.0
8,950.0,FORTALEZA DOM LUSTOSA,2017.0
7P,950.0,FORTALEZA QUINTINO CUNHA,2016.0
8,950.0,FORTALEZA VILA VELHA,2017.0
7P,950.0,MARACANAÚ NOVO MARACANAÚ,2016.0
8,950.0,FORTALEZA BOM JARDIM,2017.0
8,950.0,CAUCAIA CIGANA,2017.0
8,950.0,FORTALEZA ELLERY,2017.0
8,950.0,FORTALEZA ALDEOTA,2017.0
8,950.0,FORTALEZA FÁTIMA,2017.0
8,950.0,FORTALEZA SIQUEIRA,2017.0
7,980.0,FORTALEZA CIDADE DOS FUNCIONÁRIOS,2016.0
7,980.0,FORTALEZA CIDADE DOS FUNCIONÁRIOS,2016.0
8,980.0,FORTALEZA PLANALTO AYRTON SENNA,2017.0
7P,999.0,FORTALEZA CONJUNTO PALMEIRAS,2016.0
8P,999.0,FORTALEZA VICENTE PINZON,2017.0
7,999.0,FORTALEZA MANUEL DIAS BRANCO,2016.0
6,999.0,FORTALEZA CURIÓ,2014.0
7P,999.0,FORTALEZA PICI,2016.0
7P,1000.0,FORTALEZA BONSUCESSO,2016.0
7,1000.0,CAUCAIA NOVA METRÓPOLE (JUREMA),2016.0
SE1,1000.0,FORTALEZA MESSEJANA,2016.0
7P,1000.0,FORTALEZA JÓQUEI CLUBE,2016.0
7P,1000.0,FORTALEZA LAGOA REDONDA,2016.0
7P,1000.0,FORTALEZA MONTE CASTELO,2016.0
7,1000.0,FORTALEZA PARQUE MANIBURA,2016.0
8,1000.0,FORTALEZA EDSON QUEIROZ,2017.0
8,1000.0,FORTALEZA FARIAS BRITO,2017.0
8,1000.0,CAUCAIA PARQUE DAS NAÇÕES (JUREMA),2017.0
7P,1000.0,FORTALEZA GENIBAÚ,2016.0
8,1000.0,FORTALEZA GRANJA LISBOA,2017.0
8,1000.0,FORTALEZA BONSUCESSO,2017.0
7P,1000.0,FORTALEZA VILA VELHA,2016.0
X,1000.0,FORTALEZA PARQUE SANTA MARIA,2017.0
8,1000.0,FORTALEZA CENTRO,2017.0
7P,1000.0,FORTALEZA ENGENHEIRO LUCIANO CAVALCANTE,2016.0
7,1000.0,FORTALEZA ALDEOTA,2016.0
